Symbol	human_si_Untr._24h_1	human_si_Untr._24h_2	human_si_Untr._24h_3	human_si_Untr._72h_1	human_si_Untr._72h_2	human_si_Untr._72h_3	human_si_X1000uM_24h_1	human_si_X1000uM_24h_2	human_si_X1000uM_24h_3	human_si_X1000uM_72h_1	human_si_X1000uM_72h_2	human_si_X1000uM_72h_3
A1CF	7.248286983	6.700108773	6.412228413	6.56855332	6.760713615	6.389679591	7.005904125	6.778472924	7.006888704	6.909653713	6.995105653	6.181883923
A4GALT	7.478077276	8.105523406	7.460573752	7.218243605	7.752168648	7.628429135	7.509966927	7.499145647	7.689160253	6.523680881	6.568223035	6.103449645
AAAS	8.425748	9.00151853	9.088238762	9.117104773	9.233232475	9.135706434	8.447446451	8.994596164	8.620841451	9.118324208	9.204023864	8.899706597
AACS	9.598720189	9.863485277	9.826671267	9.661016211	9.703951386	9.647017267	9.225663261	9.243679841	9.198032241	8.687607315	8.594735236	8.537236381
AADAC	5.459815192	5.391650354	5.490192603	5.768435405	5.489816701	5.390172783	5.685318839	5.676816184	5.446631898	5.803046872	6.037364534	5.71983774
AADAT	5.528546732	5.467026739	5.856723009	5.24586168	5.332135462	5.583037304	5.286607293	5.314086256	5.022832452	5.293568379	5.313469428	4.820229161
AAGAB	8.194295647	8.057294091	8.249373609	7.942632456	7.874941533	7.606186753	8.752656904	8.539784264	8.559725627	8.631829672	8.583529211	8.340524625
AAK1	8.856094916	8.92820704	8.649852067	8.132506881	8.212028859	8.279988769	8.847972915	8.817970074	8.773243188	8.0841818	8.05134408	8.069442198
AAMP	9.458713334	9.656787183	9.678478784	9.644210395	9.660843704	9.442130541	9.347267803	9.236035989	9.363298111	9.358689272	9.627931983	9.390460358
AAR2	8.452627821	8.559550849	8.708936482	8.919977711	8.838309972	8.902964355	8.905067174	8.845050832	8.967901539	9.484017777	9.395219952	9.200220031
AARS1	9.573008006	9.266109326	9.476982646	10.02780547	9.945127322	9.676305914	8.99764196	9.146442069	8.789957718	10.1423057	10.64601499	9.666626856
AARS2	7.019351345	7.08063325	7.425280876	6.680920875	6.729329236	6.74940007	6.792899287	7.055076238	6.81766121	6.399609938	6.494068031	6.569089156
AARSD1	5.950262831	6.298245902	6.589788704	6.201300403	5.84387851	5.961993602	6.625258165	6.573026427	6.407298172	5.845910744	5.834315347	6.324819569
AASDH	5.992766238	6.103757223	5.97301989	5.832860635	5.580676222	5.583037304	6.254173507	6.219819623	6.479581796	6.072648082	5.637909129	5.68052992
AASDHPPT	8.141478757	7.814719671	7.983261888	7.238735023	7.125084336	7.097861892	8.284461119	7.801090118	8.237176549	7.579231654	7.849906916	7.644729253
AATBC	5.906056754	5.660500551	5.896888031	5.545497623	5.536404141	5.879413567	6.564228765	6.389224314	6.090658713	6.232324563	6.271926561	6.347094662
AATF	7.555339133	7.208866368	7.112521307	7.392578044	7.393088751	7.014519848	7.251166967	7.582962438	7.097934559	7.557379678	7.830958904	7.417306396
AATK	8.992587617	9.552184092	9.315601685	9.007373	9.762584656	9.964403829	9.484553371	9.83203618	9.720907087	8.473440081	7.914296698	8.473061565
ABALON	6.903784202	6.064673891	6.399456919	5.893565225	6.054026608	6.521096917	6.576667353	6.655907328	6.461895141	5.96506886	6.241120387	6.302133979
ABAT	7.888459776	7.965179474	8.057454405	7.751813404	8.074642583	7.82386367	6.922802474	7.055076238	6.776380469	6.261842455	6.143653524	6.347094662
ABCA1	5.344733606	5.041220768	5.247741154	5.734639364	5.580676222	5.639047796	5.508808646	5.638749939	5.6132839	7.906652419	8.566554101	7.862195801
ABCA2	11.03503143	11.4774615	11.2105111	11.19240414	11.63162015	11.78103916	10.46656814	10.78527637	10.53711763	9.70849189	9.787411041	10.23907101
ABCA3	8.221945192	8.135385162	8.490516173	8.169720564	8.347296358	8.646805564	7.606045119	8.129325514	7.813072753	6.873933795	6.78864998	7.346379265
ABCA5	6.831482577	6.508067643	6.486249809	6.601663083	6.25469469	6.417081696	6.390420111	6.48444768	6.350211748	6.00207924	5.920101692	6.550435381
ABCA7	9.554577817	9.364338168	9.464204098	9.2165273	9.800990132	9.63078702	9.869391221	10.38143375	9.683896881	9.98166094	10.27797745	10.49854311
ABCA9	5.859972537	5.770523945	5.836058434	5.699665492	5.388201981	5.314304774	6.005657988	5.782913148	5.907390931	5.556011685	6.037364534	5.829324458
ABCB1	8.425748	7.760788737	7.382943495	8.148574778	7.682575218	7.513514688	8.063122896	8.037977617	7.429039801	7.713541889	7.811753653	7.314837241
ABCB10	7.279179876	7.303489082	7.267753692	6.633947385	6.446644888	6.038842514	6.864409977	6.465969215	6.580841861	6.10636831	6.037364534	6.181883923
ABCB6	7.464774908	6.723701709	6.840487903	6.44543385	6.745114659	6.728282902	6.706157311	7.06693536	6.659545167	7.059632603	6.726321289	7.058453662
ABCB7	7.216686942	6.83573505	7.178157012	7.154873236	6.791370726	7.031601466	6.771741334	6.573026427	6.804042932	6.373257226	6.543978316	6.452854198
ABCB8	8.06931621	8.54694691	8.84680513	8.094294652	8.650346566	8.689315664	8.991066779	9.47337122	8.870729931	9.069606859	9.07817724	9.133734944
ABCB9	8.060580806	8.332227559	8.29195941	8.765969199	9.074920979	8.977684536	8.504075569	9.00663287	8.385659318	8.275550829	8.318580522	8.772363506
ABCC1	9.964755867	10.18668742	10.44331049	9.724569606	9.99487844	10.09235271	10.35426554	10.36752343	10.42842703	9.628034239	9.552552517	9.744182337
ABCC10	7.478077276	7.921694646	8.232650021	7.186923416	7.861038613	7.572148373	7.815943247	8.107032346	7.630386551	7.151154632	7.204393123	7.446631518
ABCC2	6.26956907	5.82135208	6.026877043	6.56855332	6.364980166	5.961993602	6.460117867	6.100416671	6.205703475	6.475501115	7.291183084	7.096365746
ABCC3	12.13793189	12.72489994	12.37143941	12.47344312	12.70857286	12.91819037	11.8976366	12.05704534	11.82858268	10.54404125	10.10125186	10.54260297
ABCC4	8.459269601	8.241123838	8.342686972	7.967045224	7.782030358	8.133312395	8.233196499	7.965396417	8.19247367	7.394041587	7.782447568	7.57588912
ABCC5	8.149732953	7.846117544	8.327027265	7.701618702	8.031939987	7.661146503	8.923605119	8.824788305	8.700835031	8.954585612	9.23294284	8.971022421
ABCC6	7.375072203	7.249083238	7.267753692	7.258926562	7.48729926	7.477118209	7.69051418	7.772936049	7.348808717	6.720646562	6.543978316	6.725902922
ABCC6P1	6.033716682	6.084380771	5.749045627	6.349513909	6.026326407	6.443898155	5.985679064	5.676816184	6.015737199	6.00207924	5.458442836	5.639570305
ABCC6P2	5.494863372	5.536231545	5.058878244	5.863644903	5.702132784	5.921484333	5.144017055	5.117702501	5.491348921	5.367624874	5.228988132	5.757652763
ABCC9	7.491254195	6.997487635	7.206350838	7.065549805	6.865057454	7.221470914	7.780496434	7.751445985	7.480070563	7.090825847	7.346158138	7.726296626
ABCD1	7.142817547	7.392058022	7.171017293	7.278827228	7.48729926	7.861774369	6.706157311	7.212419326	6.628633605	7.611384555	6.519266767	7.227033348
ABCD3	9.327334715	9.195345775	9.031575753	8.748569069	8.281264128	8.563532793	9.84046175	9.370102013	9.683896881	9.463872796	9.379144821	9.373029997
ABCD4	8.301817167	7.936338195	8.120707387	7.936463063	8.056498255	8.286941194	8.21443197	8.372749702	8.172146789	8.371729682	8.198597637	8.645136648
ABCE1	8.746509098	8.531034389	8.7041047	8.077598636	8.104378204	7.871095491	9.125200795	8.733520157	8.947199782	8.456008658	8.183794874	8.087982501
ABCF1	9.190729637	9.144072596	9.59759394	9.162434752	9.505577554	9.056840425	10.17860186	10.51677385	9.89445627	10.7216499	10.89559458	10.56578146
ABCF2	7.083499536	6.884942637	7.3763503095	6.5403011135	6.6892630025	6.699301271	6.6392800405	7.4166681455	7.26836179	6.4637727285	6.375716241	7.060214598
ABCF3	7.491254195	7.57915096	7.757795539	7.587627047	7.682575218	7.82386367	8.029110462	8.078665756	7.759338688	7.836160241	8.091595546	8.050657053
ABCG1	8.174212441	7.871760581	7.640213993	9.033449343	9.032461419	9.154765131	8.016143024	7.81495959	8.060394211	9.718240332	10.02070315	9.601855864
ABCG2	7.592428905	7.062590403	6.685642929	6.534570228	6.231388202	6.110829315	7.393351394	6.930414124	6.909288575	5.610758843	5.389264618	5.863396605
ABCG8	5.859972537	5.770523945	5.678505316	5.922678625	5.663334225	5.691943783	5.601251733	5.369013222	5.103358806	5.211053859	5.016807323	5.283326484
ABHD10	7.759074689	7.830505715	7.685464755	7.603370656	7.026971244	7.081596169	8.229463289	8.225540745	7.920900417	7.442691235	7.462434746	7.661425109
ABHD11	9.273863026	9.758399464	9.639866988	9.75445526	9.680598161	9.535192052	8.855235079	9.212857689	9.005573848	8.353004935	7.701187356	8.340524625
ABHD12	9.164620333	9.459646762	9.155181092	9.958521703	10.19624991	9.826356265	9.38283604	9.411398383	9.428701902	9.948922567	10.22144231	10.00389944
ABHD12B	5.384962629	5.717033674	5.896888031	5.24586168	5.775457501	5.390172783	5.540689791	5.748777591	5.686491206	5.293568379	5.690757925	5.794109822
ABHD13	6.236195024	6.024213378	6.026877043	6.10759118	5.702132784	5.691943783	6.390420111	6.264423576	6.183573212	6.072648082	6.109294688	6.048063886
ABHD14A	5.883261557	6.196103068	6.278183911	6.082944203	6.446644888	6.332997712	6.082227939	6.075003802	5.491348921	6.261842455	5.834315347	6.019333455
ABHD14A-ACY1	5.906056754	5.467026739	5.325146696	5.922678625	5.622910931	5.017348182	5.405382363	6.219819623	6.015737199	5.003929416	4.495114043	5.596769117
ABHD14B	9.565357404	10.32831227	9.950896829	11.01434408	11.17074947	11.06169932	9.204988891	9.460314059	9.378826946	9.281847489	9.000387588	9.402782644
ABHD15	7.256075205	7.515167585	7.561400374	7.042275125	7.566978624	7.361861202	6.87432026	6.890656078	6.790283743	6.399609938	6.747425719	6.512294238
ABHD16A	8.331106602	8.498668824	8.765683015	8.695065453	8.900371907	8.635978135	8.968929647	9.039223267	9.002710782	9.715809399	10.3621014	9.744182337
ABHD17A	8.895736006	9.300227347	9.267364405	9.457997378	9.833113491	9.549654345	9.088723167	9.303411298	9.126216064	8.966920412	9.151973015	9.285229018
ABHD17B	6.820826984	6.814071872	6.589788704	6.329409512	6.446644888	6.443898155	7.101012769	6.930414124	6.790283743	6.8372354	6.905175192	6.820926481
ABHD17C	9.92944439	10.07079321	9.66365481	9.978020876	9.702019679	9.977294387	10.08306062	9.64665438	10.41988162	10.16564217	10.07556399	10.01196049
ABHD18	7.091264463	7.006981248	6.911640044	6.696211125	6.364980166	6.74940007	6.834230797	6.863481225	6.776380469	6.891912571	6.638340408	7.032580041
ABHD2	12.14999238	12.29614771	11.81722918	11.78036278	11.89421667	11.87869541	12.37686553	12.24878364	12.37399477	12.13082272	12.04148964	12.12435729
ABHD3	8.290676891	8.101205847	8.038302446	7.807074775	7.97508124	7.833436992	8.092230844	7.699991831	8.275769586	8.241995662	8.191215468	8.100209843
ABHD4	9.247320162	9.603160281	9.149867929	10.25133669	10.38619788	10.51690993	9.685046479	9.815047994	9.836222769	10.69352624	10.86593888	10.36522945
ABHD5	6.883521673	6.723701709	6.812798483	6.696211125	6.466258151	6.178623714	7.393351394	7.090348631	7.402806688	7.478096238	7.905275386	7.710356575
ABHD6	7.801779785	7.814719671	7.861971362	8.32846681	8.244401529	8.102074506	8.262715654	8.002150528	8.197510423	8.346708434	8.384719414	7.959552618
ABHD8	6.184332222	6.346276193	6.695871603	6.649793817	7.08911342	7.191595734	6.432700602	6.242327543	6.227431772	7.600748522	7.511156849	7.249512874
ABI1	9.299925109	9.30209928	9.124810269	9.106227977	9.156253943	9.080957754	8.69173114	8.414108947	8.991201136	9.658734891	9.678707059	9.373029997
ABI2	9.399695454	9.44616975	9.536517637	9.468645513	9.589488217	9.944849199	9.072209004	9.036290851	9.259257746	9.349305448	9.404779561	9.385501755
ABI3BP	6.092507981	6.521799111	5.991260815	6.517234972	6.791370726	6.470156279	5.787251967	5.468595689	6.350211748	5.556011685	5.637909129	5.896413411
ABITRAM	7.3093978	7.200680215	6.97095144	7.428516068	6.988275439	6.888500797	7.790715139	7.499145647	7.883773879	8.353004935	7.905275386	8.094109303
ABL1	9.18674354	9.175055311	9.532442967	9.081450112	9.368545206	9.580969213	9.160775941	9.383999527	9.285392986	9.556467381	9.652206568	9.722727124
ABL2	7.451344601	7.482044909	7.472142465	6.919507668	6.821335957	7.176411343	8.024801116	7.965396417	7.496674719	7.151154632	7.424744174	7.407392622
ABLIM1	10.17734009	9.997657556	10.03583056	9.820760868	9.709731014	9.873090542	9.988446219	9.789184157	9.656866475	9.609818607	9.511856244	9.656374929
ABLIM2	6.36454527	6.281808594	6.263939004	6.223616008	6.426721958	6.521096917	5.328296633	5.420323729	5.6132839	5.293568379	4.865006106	4.820229161
ABLIM3	8.210160971	8.482207446	8.496123086	8.913749873	8.99504176	9.181029996	7.503737509	7.646587377	7.951113437	7.343629492	7.411950801	7.293403303
ABO	8.939062303	9.337211039	9.354599949	9.226603947	9.59366231	9.611617651	9.37780836	9.518160767	9.287745545	9.333528486	9.657545813	9.623069649
ABR	10.75219621	10.94642029	10.98578042	10.8963738	11.04541087	11.22275887	10.07480548	10.62303859	10.42629542	10.76694612	10.57164854	10.71738354
ABRACL	8.564630602	8.386351072	8.609064835	8.601202389	8.317198797	8.334682863	8.702514534	8.291202347	8.799893791	9.217963438	9.555415855	9.079470572
ABRAXAS1	6.494662821	6.407548521	6.437387882	6.481841802	6.054026608	6.038842514	6.025288648	5.782913148	5.818407538	5.435239099	4.495114043	5.551896671
ABRAXAS2	7.176139453	7.392058022	7.267753692	7.5474774	7.064595576	7.525439414	7.452876842	7.334301796	7.385039312	7.799552236	7.802052318	7.356735952
ABT1	8.00245371	8.245038209	8.388662069	8.449920441	8.26031651	8.456761188	8.096340936	8.123784859	8.207530863	7.923740766	8.146101043	8.298772244
ABTB1	7.956064012	7.871760581	7.71968131	8.383723641	8.550550576	8.730601859	7.534610979	7.882337866	8.076906146	9.01126316	9.275259733	9.287889344
ABTB2	8.607089019	8.620959055	8.609064835	8.752066017	8.988709317	9.064924573	9.025791835	9.258846778	9.354348685	9.407728588	9.563971867	9.565059456
ACAA1	8.893290239	8.86115703	8.94420763	8.910625799	8.950117189	8.785497507	9.233108153	9.228351308	9.198032241	9.17963845	9.508904879	9.191720374
ACAA2	8.990301423	8.89631418	8.879298262	8.995629891	8.78446025	8.814578471	8.418268638	7.849049638	7.998154944	8.557548598	8.37824157	8.282794943
ACACA	10.40345163	10.31448175	10.29976184	9.874576687	9.775500563	9.763243471	10.28708221	10.14503677	10.18791361	9.050420883	8.872891043	8.772363506
ACACB	8.833306286	8.825117442	9.133809638	8.772870599	8.979158022	9.096814103	7.785615025	8.506202773	8.093228639	8.228349491	8.001488237	8.330200382
ACAD10	8.776028615	8.668258852	8.739952482	8.428193494	8.528855064	8.673521698	8.251717409	8.548058016	8.026783805	7.180351756	7.219242564	7.610730828
ACAD11	6.972393164	6.614015817	6.987429917	6.56855332	6.406478201	6.49588137	6.025288648	6.242327543	6.114587323	5.556011685	5.581949321	5.829324458
ACAD8	7.444580672	7.413345728	7.313693656	7.506143415	7.238600021	7.191595734	7.472167212	7.455276169	7.321001656	7.703653303	7.346158138	7.702318449
ACAD9	7.592428905	7.652268464	7.971184787	7.786604243	7.736997524	7.439748182	6.625258165	6.793023411	6.674730632	5.367624874	5.690757925	6.076089409
ACADM	6.600101254	6.160027668	6.278183911	5.978683472	5.622910931	5.583037304	5.901959459	5.599097482	5.574434916	6.00207924	5.522356808	6.130180649
ACADS	7.561589272	7.640343326	7.454753252	7.694299892	8.062572118	7.978414375	6.969599239	7.043112953	6.443957776	6.475501115	6.241120387	6.231431417
ACADSB	7.785916268	7.150512766	7.261064496	7.110940526	6.921217222	7.161057296	6.996918705	6.877137524	6.983141318	6.92716382	6.941869631	7.032580041
ACADVL	10.52904431	10.79332118	10.84459482	10.88211946	11.07256095	10.9220628	10.54708281	10.74460322	10.2373892	10.33512464	10.50216339	10.31660335
ACAP1	6.285918199	6.392510565	6.424871108	6.267043447	6.664221873	6.110829315	5.144017055	5.51426643	5.446631898	5.662478027	5.458442836	5.401638268
ACAP2	8.751921651	8.364946993	8.072592409	8.195719076	7.736997524	7.852391475	8.2808598	8.043861971	8.317975007	8.248770112	8.107382629	8.282794943
ACAP3	8.677070585	8.89631418	9.225893316	8.365541052	9.144912819	8.875636263	9.323057734	9.823567123	9.299450991	9.422716969	9.804355894	9.527298171
ACAT1	6.755035205	7.006981248	6.894202815	6.308971673	6.183373705	6.417081696	6.648888043	6.748883668	6.443957776	6.072648082	5.834315347	6.103449645
ACAT2	8.391421887	8.785472399	8.080101426	7.991045209	7.666631911	6.961944822	7.484881022	7.13600505	7.348808717	6.85571048	6.415322034	6.156315351
ACBD3	8.770706402	8.488814732	8.042153531	8.231338504	7.962130745	7.978414375	8.537610778	8.220362447	8.602021267	8.282168226	8.352032572	8.250293655
ACBD4	7.549061001	7.974664438	8.087571021	8.231338504	8.674246449	8.487227508	6.96036877	7.34399046	7.053172392	6.547106012	6.301971632	6.587476748
ACBD5	7.681082594	7.09844067	7.142081266	7.110940526	6.713352458	6.74940007	7.27344748	6.703218007	7.263655298	7.356404997	7.462434746	7.503495809
ACBD6	7.3093978	7.528200168	7.738867124	7.5474774	7.818491228	7.617351954	7.646095989	7.662053642	7.553284998	7.277924612	7.029468349	7.293403303
ACBD7	5.735074458	5.689174824	5.814980432	5.801148308	5.440565212	5.390172783	6.118682243	6.049017781	5.721124648	5.556011685	5.228988132	5.401638268
ACCS	7.912975832	7.809418253	8.18822819	7.979095926	8.212028859	8.21584416	7.433316105	7.591074963	7.292625435	7.136319768	6.867450709	7.032580041
ACD	7.216686942	7.628316198	7.861971362	7.772790586	7.987914667	8.27300232	6.625258165	6.930414124	6.934358153	7.790250182	7.711604598	7.436924841
ACE	9.055167714	8.719670234	8.345798422	8.661978266	9.173099687	8.597424758	8.968929647	9.753960594	8.643104241	8.106759348	8.05948601	7.97293082
ACE2	6.494662821	6.122816005	6.061408869	6.10759118	5.908136665	5.789938354	6.331718969	6.408854675	6.13803484	6.232324563	6.494068031	6.048063886
ACER2	8.020593482	7.710424241	7.844396255	7.133082965	7.422026179	7.375148869	8.510231592	8.123784859	8.732315623	8.81141451	9.129075622	8.550621747
ACER3	7.764483974	7.482044909	7.477891087	7.480743961	7.21663384	6.728282902	7.266060486	7.006578329	6.934358153	7.106159219	6.995105653	7.019456273
ACHE	5.971717474	5.82135208	6.159210402	6.082944203	6.385901789	5.789938354	5.762717634	5.713448913	5.6132839	6.139138607	4.865006106	5.794109822
ACIN1	10.64674469	10.84168828	10.84896684	10.80193979	10.98238758	11.12579091	11.15213963	11.30702277	11.12576706	11.35679585	11.31824735	11.3540442
ACLY	11.60244801	11.77100309	11.5556005	11.41553535	11.38984022	11.278478	11.19702753	11.20318271	11.37815299	10.80058177	10.61617896	10.71244683
ACO1	10.16423773	10.27978822	10.05488537	10.13055909	9.969414964	9.743254526	10.13658835	9.93311505	10.00144493	9.915423183	9.948509294	9.73641736
ACO2	10.92044889	11.16559977	10.97831675	11.38441243	11.48046986	11.5547618	10.36699659	10.81290908	10.37195453	10.44629764	10.22683766	9.900006067
ACOT11	9.172704562	9.215354	8.976595785	8.635705312	8.972755038	8.866410102	9.682331396	9.623418866	9.576443724	8.414489908	8.566554101	8.282794943
ACOT13	7.61662188	7.820001287	7.448908379	8.169720564	7.478159283	7.560616246	7.651725534	7.391445317	7.339601475	7.264400967	6.959848942	7.304161731
ACOT2	6.424043323	6.575299381	6.803439268	6.407943843	6.760713615	6.49588137	6.005657988	6.573026427	6.269747243	6.202065041	6.037364534	6.181883923
ACOT4	5.761296011	5.630947184	5.548073319	5.893565225	5.663334225	5.459416468	5.088297482	5.03532358	5.022832452	5.116698907	4.865006106	5.141305852
ACOT7	8.290676891	8.647756948	8.840217325	8.813596254	9.074920979	8.969092967	8.0715004	8.240963799	8.256603523	8.444268605	8.298126688	8.153969391
ACOT8	8.533513744	8.840673883	8.699256585	9.004446206	9.246555436	9.044628317	8.855235079	8.897726631	8.752925329	8.979150223	9.000387588	8.798751863
ACOT9	8.492023833	8.843250314	8.614227167	8.445601369	8.461723379	8.029176398	8.83088364	8.762225885	8.707890668	8.143610688	8.391168038	8.217034804
ACOX1	9.588188353	9.385677664	9.200424432	9.647962002	9.142063509	9.305609211	9.513870918	9.344269398	9.345343262	9.503884791	9.617010554	9.250189593
ACOX2	6.673893776	6.792050337	6.902949714	7.611176761	7.343480552	7.650325049	5.441296273	5.599097482	5.446631898	5.662478027	5.389264618	5.551896671
ACOX3	7.715037359	7.926592649	7.790321664	7.716143277	7.861038613	7.804520398	7.37977077	7.437335055	7.437675581	6.636767051	6.271926561	6.692645922
ACP1	9.654586863	9.612237904	9.614395371	9.77002962	9.387908141	9.217738312	9.55453192	9.332372252	9.458235663	9.739936092	9.804355894	9.620962275
ACP2	7.946601333	8.201377753	8.403664285	8.164463464	8.580382582	9.015723318	8.555577017	8.884737714	8.602021267	9.136630749	9.236517177	8.737706598
ACP5	8.086627727	8.537420629	8.065043545	8.923081534	9.298646838	9.158546748	8.229463289	8.358693038	8.280521159	9.30144601	9.549683475	8.72989004
ACP6	9.196688147	9.371486543	9.245948677	9.892077749	9.915431323	9.900420471	8.22196743	8.662949526	8.575250714	8.414489908	8.447933281	8.581376248
ACPP	5.560996835	5.430201746	5.602447684	6.349513909	5.968802415	6.242755144	6.30128822	5.638749939	6.461895141	6.8372354	7.558239344	7.227033348
ACRBP	6.130104186	6.044622956	5.896888031	6.798544195	6.523342558	6.810802075	5.441296273	5.909270693	5.935489682	6.399609938	5.960577639	6.472978382
ACSF2	8.038504622	8.011983148	7.655459823	8.820272922	8.913806661	8.838370511	7.258633798	7.574802741	7.36704207	7.011460802	7.029468349	7.436924841
ACSF3	8.527208412	8.635908579	8.593465316	8.356362276	8.736098122	8.400231534	8.705197762	9.327585719	8.654107308	7.68366549	7.111760759	7.952815929
ACSL1	9.770893266	9.618258022	9.244288034	9.677628214	9.089786237	9.264100263	9.420809049	9.071091089	9.474844012	8.895580052	8.962016733	8.619971847
ACSL3	9.947208274	9.85713723	9.531082178	9.346946004	8.917145807	8.819368528	9.166620507	9.0155947	9.505477549	9.080996731	9.448570415	9.067128553
ACSL4	8.202250375	8.241123838	7.942598727	8.00878272	7.994288149	7.525439414	7.657332642	7.490481232	7.660080214	8.106759348	8.091595546	7.918644121
ACSL5	11.63859447	11.74443595	11.33611027	11.85888075	11.67359735	11.50595015	11.39436961	11.32512516	11.33449887	11.34976231	11.63460321	11.03778441
ACSM3	5.950262831	6.160027668	5.876993565	6.680920875	6.406478201	6.417081696	5.65810855	5.51426643	5.721124648	6.037910368	5.834315347	6.048063886
ACSS1	7.99329622	7.876833928	8.288728305	7.85371751	7.955610916	8.237547689	6.996918705	7.222997192	7.108899511	7.600748522	7.386005997	7.531083594
ACSS2	11.82842943	12.3447999	11.2261397	12.38804439	12.1731387	11.93261284	11.46907773	11.46720361	11.46895267	10.92568832	10.5531578	10.27434339
ACTA2	8.107975103	8.096875152	8.259314481	8.55386687	8.83478216	8.833643542	8.233196499	8.441031841	8.212514801	9.204144933	9.101892879	8.974331689
ACTB	15.45991474	16.39005709	16.09997219	15.77834143	16.07342446	16.06660672	15.95960453	16.02578177	16.01742379	15.6128533	15.72264986	15.12919263
ACTG1	14.45787741	15.06417145	14.80904826	14.24990942	14.50946556	14.3697307	14.23928398	14.2482681	14.46363494	13.52580102	13.25712011	12.90717998
ACTG1P17	5.302263872	5.502317199	5.678505316	5.304536674	5.580676222	5.459416468	5.685318839	5.815951513	5.574434916	5.116698907	4.495114043	5.216106405
ACTL6A	7.208672439	6.908905723	7.199356358	7.154873236	6.231388202	6.74940007	7.465766654	7.031043554	7.385039312	7.761970802	7.65873052	7.407392622
ACTN1	11.10735828	11.37015541	11.63748325	11.3967195	11.36504481	11.54686042	11.24470457	11.36358463	11.37815299	11.24582953	11.55679	11.29451307
ACTN4	13.27266973	13.58755103	13.52834289	13.15647229	13.38056299	13.42398511	13.49016267	13.49261726	13.48971731	13.13748425	13.29548333	13.06826734
ACTR10	8.846011264	8.806752599	8.667337935	8.496589251	8.206561251	8.078187826	8.233196499	8.188891472	8.322588421	8.390212304	8.77294511	8.319800984
ACTR1A	9.694408163	9.954306712	10.09409888	10.11574069	10.18661506	10.00063174	10.13757944	10.25112808	10.09299602	10.3633437	10.37673591	10.21413611
ACTR1B	9.556122707	10.09148874	10.1349623	10.38091261	10.41477247	10.42112215	8.793564019	9.082506447	9.047849204	8.85189793	8.665513526	9.000535005
ACTR2	10.03066493	9.690032259	9.719670101	9.528898417	8.762341626	8.755815068	9.842894847	9.351360763	9.54729829	9.361803667	9.526523009	9.177441705
ACTR3	9.930635485	9.707077651	9.627187485	9.572982677	9.326513155	9.325923143	9.864609795	9.55956003	9.689242625	9.999754643	10.13799093	9.814091321
ACTR3B	6.766229665	6.548827781	6.831321839	6.551674106	6.385901789	6.593897636	6.683549263	6.778472924	6.547969381	6.592713428	6.271926561	6.512294238
ACTR3C	6.033716682	6.21373922	6.643909518	5.625727942	5.775457501	6.145214711	6.27008191	5.713448913	6.041260697	5.662478027	5.740902356	5.401638268
ACTR5	6.73235773	6.958833393	6.902949714	6.906594076	6.948441477	6.850216011	7.331165573	7.707458384	7.041748331	6.92716382	7.219242564	7.346379265
ACTR6	5.992766238	5.430201746	5.548073319	5.502545825	5.205297488	5.390172783	5.405382363	5.879061071	5.533861656	5.367624874	5.228988132	5.344776278
ACTR8	7.536419724	7.495388269	7.500652	7.5474774	7.431539948	7.265103836	7.228521036	7.264515635	7.393951353	7.180351756	7.277091505	7.726296626
ACVR1	8.573835355	7.931473793	8.091291166	8.449920441	8.342323923	8.517058839	8.266362982	8.26127191	8.675863309	8.605740525	8.616887763	8.425394108
ACVR1B	9.083321842	8.788149743	8.844612552	8.932352965	9.062917104	9.100751017	9.399469265	9.494873415	9.400724349	9.872423287	10.03307617	9.817775261
ACVR1C	6.26956907	6.392510565	6.333558808	5.951036099	6.183373705	6.211118545	6.221714826	6.196881687	6.564510516	6.318811781	6.494068031	6.324819569
ACVR2A	6.913802	6.711958149	6.654468537	6.633947385	6.406478201	6.443898155	7.12584082	6.917291589	6.934358153	7.16583079	7.189381773	6.92384812
ACVR2B	7.853408529	7.39919015	7.483616154	7.672112506	7.16013443	7.489355942	7.134017761	7.372657337	7.66740673	7.07531838	6.995105653	7.446631518
ACY1	9.385859027	10.0696957	9.35306014	9.771749758	9.769979346	9.417105281	8.932785142	8.77987965	8.725379398	6.909653713	6.415322034	6.658523749
ACY3	6.535224151	6.746879434	6.486249809	7.110940526	7.729350347	7.414266853	6.04458519	6.286124623	5.96288705	6.679378371	6.07389105	6.206914092
ACYP1	6.201870713	6.248252826	6.234937067	6.288187544	5.810229909	5.691943783	5.762717634	5.815951513	5.721124648	5.293568379	5.458442836	5.504670408
ACYP2	7.099992698	7.249083238	7.261064496	7.571704839	7.650505947	7.293445208	6.625258165	6.623387186	6.659545167	7.501210706	7.637011989	7.215654666
ADA	6.831482577	7.025771515	7.019797581	7.506143415	7.148550328	6.810802075	6.551668847	6.242327543	6.479581796	6.346334075	5.878065989	5.92845143
ADAL	5.680471903	5.568902415	5.749045627	5.734639364	5.271555237	5.459416468	5.508808646	5.51426643	5.6132839	5.293568379	5.581949321	5.639570305
ADAM10	10.38271904	9.897289716	9.661169247	9.466522177	9.208935736	9.17730711	9.868197351	9.460314059	9.963719872	9.564597152	9.660208032	9.618851814
ADAM15	10.87664209	11.58080462	11.55593479	11.84547559	12.12784336	12.07975492	11.41861826	11.7853237	11.49663852	12.10413661	12.36462998	11.92628694
